3y3s (JMBS FUNKOT RMX),5,11,14,17
A Lasting Promise,7,14,17,19
Alice Maestera,2,7,10,14
All Clear!!,5,11,14,17
Altale,5,10,13,17
Apocrypha,5,10,14,17
Aragami,6,11,15,17
Arcade Prison,5,11,14,17
Aurora(Latinized Style),4,9,13,15
Awakening,7,14,17,19
ECHIDNA,6,12,15,18
EDEN of TRUTH,5,10,13,17
Engraved Mark-Gow's ill! RMX-,6,10,13,16
Evans,6,13,16,18
HP:1,6,12,15,18
I,8,15,18,20
I feel something for you,2,7,12,15
If,5,11,14,17
ILL-STARRED Diver,5,11,13,17
iLLness LiLin,7,15,17,20
Immortal saga,6,13,16,18
infinite:youniverse,6,11,14,17
Inscape,6,11,14,17
Invisible Full Moon 古屋直雪 remix,4,10,13,16
Iridescent Clouds,6,11,14,17
It's a new day!,4,7,12,16
OPEN MY GATE,5,12,15,18
Oriens,6,12,15,17
ΩVERSOUL,6,13,16,18
ULTiMATE INFLATiON,6,13,16,18
VAMPIRE,4,8,12,16
Victim of Nights,6,12,15,18
Vigor,5,11,14,17
We Go Down,6,11,15,18
Wings of Glory,6,12,15,18
アワデコノヨヲ,5,12,15,17
インビジブル,5,11,14,16
インフルエンサー・イズ・デッド,2,10,13,16
オトゲラヴ！,5,8,12,16
おにいちゃんハイテック,5,10,13,17
オンディーヌの泪,6,11,14,17
斑鳩,3,8,13,16
永遠に幸せになる方法、見つけました。,4,10,13,18
炎夏の音,5,10,14,17
裏表ラバーズ,3,8,12,16
朧 (kamome sano remix),4,10,14,15
Candy Star,4,10,13,16
CARNIVOROUS,5,11,13,17
Carry Me Away,5,11,14,17
Chaotic Romance,6,11,14,17
Chrono Diver -PENDULUMs-,7,14,17,19
Claidheamh Soluis-光の剣- feat.はるの,4,8,13,16
Cloud 9,6,13,16,18
cobalt,5,11,14,17
couleur automnes de chocolat,4,10,14,16
crossing blue,6,13,16,18
Crystallize Forest,3,8,11,15
CUTE-Reflection,6,11,14,17
Game Over,5,11,14,17
Gamerz FestivaL,6,13,16,18
Gate of Atlantis,6,13,15,18
Gaze ft. 紫崎 雪,5,10,12,15
GERBERA,6,12,16,18
GERBERA -For Finalists-,7,13,17,19
Ghost Trigger,6,12,15,18
Glitter Flatter Scatter,6,13,16,18
Goddess Bless you,6,12,15,18
Gorgetech,5,12,15,18
Grand-Guignol,6,12,16,18
KAC 2013 ULTIMATE MEDLEY-HISTORIA OUND VOLTEX- Empress Side,7,13,19,19
Khionos TiARA,6,13,16,18
KIMIDORI Streak!!,6,12,15,18
QUAKE,4,11,14,17
からくりピエロ,2,8,12,16
キュリオシティ,6,12,15,18
きゅん×きゅんばっきゅん☆LOVE,4,10,12,15
キリステゴメン,5,11,14,17
クリスタルミサイル,3,7,11,14
ケムマキ underground,6,12,15,17
けもののおうじゃ★めうめう,5,10,14,17
ゴーストマスコット,4,10,13,16
壊Rave*it!! 壊Rave*it!!,6,13,15,18
神獄烙桜,6,13,16,18
狂騒こども節,4,11,14,16
煙,5,12,14,17
恋歌疾風！かるたクイーンいろは,5,12,15,18
恋とキングコング,3,8,12,15
業焔繚乱,6,12,15,18
極彩天奏,6,12,15,18
湖底遺跡のヴィダー・ハル,4,8,12,15
Cepheus,4,12,15,18
゜*。Chantilly Fille。*°,5,11,14,16
Cy-Bird,5,11,14,17
Genesis At Oasis (Hirayasu Matsudo Remix),5,10,12,16
JUGGLE,4,11,14,17
Juggler's Maddness,6,13,16,18
JULIAN,5,10,13,16
Junk Mania,5,11,15,17
JUNKIE FLAVOR,6,12,16,18
Justitia Gladius,6,12,15,17
Sacrifice and Faith,6,12,15,18
SACRIFICE feat.ayame,5,11,14,18
Sadistic Stabbing,5,11,14,17
Sailing Force,7,14,17,19
Sakura Mirage -Drum'n World-,5,10,14,17
SAtAN,6,13,16,18
Second Heaven GravityPfArrange,5,10,14,16
Secret Traveler -MeniRemix-,5,10,14,17
sink into the dream,4,10,14,17
Sky High,6,13,15,18
Smoked Turkey Rag,4,9,12,17
SO FLY ME TO YOU,3,7,11,15
SPACE VILLAGE,6,12,14,17
#SpeedyCats,6,13,16,18
Spirit of the Beast,6,13,16,18
SprrRush!!,5,9,12,15
Staring at star,6,14,17,19
starmine (nora2r Remix),6,11,14,16
SUPER BUBBLE JOURNEY,5,11,14,17
Sweet Requiem,6,12,16,18
The Formula,5,12,15,18
The Golden Era,6,11,15,18
Xéroa,7,14,17,19
Xibercannon,6,12,15,17
Zelophilia,5,12,15,17
シノビシノノメ,4,10,13,16
スカイダイバー,5,11,13,16
スピーカーガール！,5,10,13,16
セイレーン ～悲壮の竪琴～,6,14,17,19
それは花火のような恋,6,12,14,17
獅子奮迅,5,11,15,17
失敗作少女,4,10,14,17
銃弾は解を撃ち抜いて,5,10,14,17
準備運動,6,12,15,18
少女綺想曲 -G.X.N. Remix-,5,12,14,17
少女救世論,3,7,12,16
新米天使のメランコリー,5,10,13,16
神話に芽吹く,6,12,15,18
水槽のクジラ,5,10,13,17
雪月花 (Shiron & Sound Artz Remix),4,9,14,16
零の位相,5,11,14,17
千本桜,2,7,10,15
CHERNOBOG,6,13,16,18
Chocolate Planet,6,11,15,17
Dark Matter,5,11,14,17
Deadly force,6,14,17,19
Decoy,6,12,14,17
Destruction & Qreation,5,10,13,17
Dharma,5,11,14,17
disordered asia,4,10,13,16
Divine's:Bugscript,6,13,15,18
Doppelganger,6,12,16,18
Dreadnought,6,12,16,18
dreamin' of u,5,10,13,16
Dreaming feat.nomico,4,9,13,17
DREAMING-ING!!,3,10,13,16
Drizzly Venom,5,9,13,17
DropZ-Line-,6,12,16,18
Dyscontrolled Galaxy,6,14,17,19
Dystopia,2,7,12,15
Take to Lips,2,7,12,15
Technical Master,4,8,14,17
Theme of Ricerca,6,11,15,18
Time to Air (jazz it up style),4,10,14,16
Touch My Body,5,12,15,18
Two of Us,4,8,12,15
TWO-TORIAL,7,14,17,19
TRICKL4SH 220,6,10,16,18
チルノのパーフェクトさんすう教室 ⑨周年バージョン,5,11,13,16
ツキアカリ,6,11,14,17
つるぺったん,4,10,13,16
デュアルメモリ,3,9,13,17
テレポーテーションでやってきた彼とのその後の顛末,4,9,12,16
トーホータノシ feat. 抹,5,10,14,16
トキメキストリーム,4,10,13,16
トラウマ催眠少女さとり！,6,11,14,16
ドリームエンド・サバイバー,6,12,16,18
誰が為に兎は舞う＝狂速狂騒曲＝,6,13,16,18
地球防衛乙女パンナコッター,3,8,12,16
超☆超☆光☆速☆出☆前☆最☆速!!! スピード★スター★かなで,7,15,17,18
盗宝,3,10,13,16
透明な記憶の風穴,4,10,12,16
Knights Assault,6,12,14,17
Narcissus At Oasis (Freezer Remix),5,10,14,16
Narcissus At Oasis -影虎。 style-,5,10,13,16
NEON LOVE♥POTION!!!,5,11,14,17
NEWBORN CRYING,3,9,12,16
New Game feat.Mayumi Morinaga,5,8,11,15
New Leaf,6,13,15,18
Nexta,6,12,15,18
Noisy Minority,6,12,15,18
Nostalgia,3,8,13,15
ナイト・オブ・ロンド,3,10,13,16
ナナイロライト,3,7,12,15
のぼれ八坂坂！,4,10,15,18
405nm(Shu※mix),6,10,14,17
444,5,11,14,17
β,5,11,14,17
bass 2 bass [Tracy vs. Astronomical Remix],4,9,13,16
Be a Hero!,5,11,15,18
BEAST BASS BOMB,6,10,15,18
BELOBOG,7,14,17,19
BLAZING_LAZER,6,12,16,18
Blue Fire,4,8,12,16
Blue Stream,5,12,14,17
BlueMoon Princess,6,13,16,18
Boss Rush,6,12,15,18
BREAKNECK NY☆N! NY★N!,6,12,15,17
Burn everything,2,8,12,16
Fairy in Strasbourg,3,8,13,16
Fáfnir,5,11,15,17
fancy cake!!,5,9,12,16
Far Away,5,12,14,17
Fin.ArcDeaR,6,14,17,19
FIN4LE ～終止線の彼方へ～,7,15,18,20
Finale,5,9,14,17
FIRE IN MY HEART,2,8,13,18
FLOOR INFECTION Medley from SOUND VOLTEX×jubeat,6,12,17,18
Fly far bounce,5,11,13,17
Four Leaves,5,10,13,17
HE4VEN ～天国へようこそ～,7,15,17,20
Heavenly Adventure,5,9,14,17
HEAVENLY SMILE,5,9,13,17
HiGHER,5,9,12,16
Hug!! Vs. Hug!!,6,13,16,18
НУМЛ,6,12,15,18
Phlox,5,12,14,17
PIERROT KNIfE,5,11,14,17
planetarium,6,12,15,17
POLICY BREAK Medley from SOUND VOLTEX×jubeat,5,11,15,18
Poppin’Cats!!,5,11,15,17
Poppin' Shower,4,8,12,16
PUPA,6,12,16,18
Voltage Higher,5,10,14,17
VOLTEXES IV,5,11,14,17
WHITEOUT,7,15,18,20
ぱあ,4,9,13,16
パンダヒーロー,2,7,10,15
びいすと！,6,12,15,18
ひとりぼっちの魔王,3,9,13,16
ビビットストリーム,4,10,13,16
プラネタジャーニー,5,11,14,17
プレインエイジア(MRM REMIX),6,12,14,17
ペタ靴と憂夜リムーバー,5,11,15,17
ボーイミーツ・ブルー,5,10,13,17
ホワイトパレード,6,13,16,18
廃獄ドリームランド,4,10,14,17
春時雨,4,9,13,16
片翼のディザイア,5,12,15,17
冒涜的選択のアレグリア ft. Mayumi Morinaga,3,7,13,15
僕らの時間,6,11,14,17
Make Magic,6,13,16,18
Melty Sweets,5,11,14,17
MeteorGlow Aftermath,6,13,16,18
Mind Mapping(ag Remix),4,9,13,16
Mirrorwall,6,13,16,18
MONOLITH,6,13,15,18
Mysterious Nights,4,9,13,16
マトリョシカ,3,9,12,16
ミラクル・スイート・スイーツ・マジック！！,4,9,12,16
メイビ～初恋！？ビスケット☆大作戦,6,13,16,18
メルヘン風紀委員会,5,11,14,17
焔 -MAGMA-,6,10,14,17
見世物ライフ,4,10,13,17
蟲の棲む処,6,12,15,17
胸の中で誰かが,2,9,12,15
物凄いスペースシャトルでこいしが物凄いうた,5,11,15,17
刃の如く ft. ネコメアリ,3,8,12,15
闇夜に舞うは紅の華,5,12,15,17
幽玄の桜,5,10,14,17
La Danza del Fuego,4,11,14,16
LastΩmegA,6,13,16,18
Last Resort,7,14,17,19
Legendary Road,6,13,16,18
Levier'n NābYss,6,13,16,18
Libera me,6,11,14,17
Line 4 Ruin -kohumix-,4,11,14,17
Lionheart,5,11,14,16
Lost Wing at.0,6,12,15,17
LOVE EAST,3,8,12,15
Lowermost revolt,6,13,16,18
Random Box,4,10,13,16
Re:End of a Dream,6,13,16,18
Rebellio,7,13,17,18
Reb∞t,6,13,16,18
Rebuilding of Paradise Lost,5,12,14,17
Redshift,6,13,16,18
Regretful Flower,4,11,14,16
Яe's NoVǢ,6,12,15,18
rhythmology study,5,11,14,17
RHYZING BEAT,5,12,15,18
Root Consciousness,3,10,13,16
Royal Action,6,11,14,17
Royal Judgement,6,11,14,17
ルミナスデイズ,4,8,12,16
ロプノールの商隊,6,12,14,17
雷鼓サンダービート,5,11,15,18
羅生門,6,13,15,17
黎明スケッチブック,5,11,14,17
waxing and wanding(SS Remix),4,9,13,16
WONDER_WOBBLER,5,9,14,17
ワールズエンド・ダンスホール,5,10,14,18
惑星☆ロリポップ,5,11,13,16
分けるな危険！モモモモモモーイズム,5,11,14,17
私とあなたのMYOURENJI☆,3,7,12,16
私の恋色。,5,11,13,16
Made In Love,4,10,13,17
コメット⇒スケイター,5,11,14,17
Another Chapter,5,11,14,17
水簾ノ調,6,12,15,18
サイコパスラビット,6,13,16,18
スラッシュ//シスターズ,6,12,15,18
光射す澪のユズリハ,6,13,16,18
オニユリ,6,13,16,18
そして黄金郷へ,6,12,15,18
Fly Like You,7,14,17,19
Failnaught,7,14,17,19
Absolute Domination,7,14,17,19
Xronièr,7,15,18,20